Service Name,Price,Description
Wireless Mouse,$19.99 ,wireless mouse with LED
Diesel Fuel,$33.45 ,
Canned Tuna,$5.33 ,
Wireless Mouse,$9.85 ,
Multipurpose Cleaner,$26.92 ,
Wireless Mouse,$12.73 ,
Marine Rope,$44.29 ,
Marine Rope,$5.47 ,high elasticity rope
Marine Rope,$14.49 ,
Multipurpose Cleaner,$30.88 ,
Multipurpose Cleaner,$48.14 ,best for stubborn stains
Canned Tuna,$27.94 ,
MEANS,$19.99 ,
Toner,$500.00 ,
Codeflow enterprise,$1.0k,
LED Floodlight,$11.1k,very bright floodlight
Life Jacket Type III,$33.00 ,
Life Jacket Type III,$222.00 ,
Hello,$233.00 ,
Life Jacket Type III,$222.00 ,
Life Jacket Type III,$345.00 ,for safety
N/A,$333.00 ,
Life Jacket Type III,$234.00 ,
MEANS,$19.99 ,
MEANS,$19.99 ,
MEANS,$19.99 ,
MEANS,$19.99 ,
hellos,$12.3k,
PunchS,$1.2k,
MERN,$19.99 ,
PunchS,$2.00 ,
Samsung ,$23.00 ,
Umbrella,$12.00 ,
Life Jacket Type III,$1.0k,
round,$450.00 ,
jvrjeif,$12.00 ,
Emmanuel,$1.5k,
Jason Osikoya,$25.00 ,
Jendol Bread ,$1.5k,
